"filename", "language", "JSON", "C#", "ASP.NET Razor", "CSS", "Markdown", "XML", "SQL", "comment", "blank", "total"
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\BookStoreApp.API.csproj", "XML", 0, 0, 0, 0, 0, 30, 0, 0, 5, 35
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Configurations\MapperConfig.cs", "C#", 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Controllers\AuthController.cs", "C#", 0, 115, 0, 0, 0, 0, 0, 0, 18, 133
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Controllers\AuthorsController.cs", "C#", 0, 154, 0, 0, 0, 0, 0, 7, 20, 181
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Controllers\BooksController.cs", "C#", 0, 155, 0, 0, 0, 0, 0, 8, 18, 181
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Controllers\WeatherForecastController.cs", "C#", 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Data\ApiUser.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Data\Author.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Data\Book.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Data\BookStoreDBContext.cs", "C#", 0, 97, 0, 0, 0, 0, 0, 0, 20, 117
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Migrations\20220115221750_AddedIdentityTables.Designer.cs", "C#", 0, 270, 0, 0, 0, 0, 0, 1, 93, 364
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Migrations\20220115221750_AddedIdentityTables.cs", "C#", 0, 199, 0, 0, 0, 0, 0, 0, 25, 224
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Migrations\20220115222514_ExtendedUserTable.Designer.cs", "C#", 0, 276, 0, 0, 0, 0, 0, 1, 95, 372
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Migrations\20220115222514_ExtendedUserTable.cs", "C#", 0, 32, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Migrations\20220115231003_SeededDefaultUserandRoles.Designer.cs", "C#", 0, 339, 0, 0, 0, 0, 0, 1, 98, 438
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Migrations\20220115231003_SeededDefaultUserandRoles.cs", "C#", 0, 62, 0, 0, 0, 0, 0, 0, 12, 74
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Migrations\BookStoreDBContextModelSnapshot.cs", "C#", 0, 337, 0, 0, 0, 0, 0, 1, 98, 436
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Models\Author\AuthorCreateDto.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Models\Author\AuthorDetailsDto.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Models\Author\AuthorReadOnlyDto.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Models\Author\AuthorUpdateDto.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.API\Models\BaseDto.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
